file,units,material,role,status,notes
cad/stl/torso_front_shell.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/torso_back_shell.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/pelvis_frame.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/head_shell_front.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/head_shell_back.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/neck_gimbal_mount.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/camera_bar_mount.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/upper_arm_shell.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/forearm_shell.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/hand_palm.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/finger_phalanx_proximal.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/finger_phalanx_distal.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/thigh_shell.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/shin_shell.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/foot_sole_force_sensor_mount.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/electronics_tray.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/battery_cradle.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/docking_alignment_target.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/peristaltic_pump_mount.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/hygiene_dock_nozzle_mount.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/e_stop_button_plate.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
cad/stl/servo_bracket_x_series.stl,millimeters,PETG prototype; PA-CF for fixtures after coupon tests,reference shell/fixture,reference,Not certified/load-bearing
